generation,kind,index,fitness,wins,ties,margin,sigma
5,child,5,60421,6,0,421,0.25762020770999994
5,child,6,60470,6,0,470,0.25762020770999994
5,child,7,60427,6,0,427,0.25762020770999994
5,child,8,60289,6,0,289,0.25762020770999994
5,child,9,60416,6,0,416,0.25762020770999994
5,child,10,50010,5,0,10,0.25762020770999994
5,child,11,60264,6,0,264,0.25762020770999994
5,child,12,60105,6,0,105,0.25762020770999994
5,child,13,60520,6,0,520,0.25762020770999994
5,child,14,60139,6,0,139,0.25762020770999994
5,child,15,60256,6,0,256,0.25762020770999994
5,child,16,60279,6,0,279,0.25762020770999994
5,child,17,60166,6,0,166,0.25762020770999994
5,child,18,40076,4,0,76,0.25762020770999994
5,child,19,60510,6,0,510,0.25762020770999994
5,child,20,60304,6,0,304,0.25762020770999994
5,child,21,60423,6,0,423,0.25762020770999994
5,child,22,50164,5,0,164,0.25762020770999994
5,child,23,60280,6,0,280,0.25762020770999994
